name,sci_field,year,link,sex
Акбердиной Виктории Викторовне,общественные науки,2015,http://www.ras.ru/presidium/documents/directions.aspx?ID=72722e43-d556-44e1-a01d-b2bfd8a79a80,f
Алмаеву Николаю Альбертовичу,общественные науки,2015,http://www.ras.ru/presidium/documents/directions.aspx?ID=72722e43-d556-44e1-a01d-b2bfd8a79a80,m
Андреевой Елене Леонидовне,общественные науки,2015,http://www.ras.ru/presidium/documents/directions.aspx?ID=72722e43-d556-44e1-a01d-b2bfd8a79a80,f
Баксанскому Олегу Евгеньевичу,общественные науки,2015,http://www.ras.ru/presidium/documents/directions.aspx?ID=72722e43-d556-44e1-a01d-b2bfd8a79a80,m
Дергачевой Елене Александровне,общественные науки,2015,http://www.ras.ru/presidium/documents/directions.aspx?ID=72722e43-d556-44e1-a01d-b2bfd8a79a80,f
Кабир Людмиле Сергеевне,общественные науки,2015,http://www.ras.ru/presidium/documents/directions.aspx?ID=72722e43-d556-44e1-a01d-b2bfd8a79a80,f
Кузнецовой Ольге Владимировне,общественные науки,2015,http://www.ras.ru/presidium/documents/directions.aspx?ID=72722e43-d556-44e1-a01d-b2bfd8a79a80,f
Логинову Евгению Леонидовичу,общественные науки,2015,http://www.ras.ru/presidium/documents/directions.aspx?ID=72722e43-d556-44e1-a01d-b2bfd8a79a80,m
Найден Светлане Николаевне,общественные науки,2015,http://www.ras.ru/presidium/documents/directions.aspx?ID=72722e43-d556-44e1-a01d-b2bfd8a79a80,f
Нестику Тимофею Александровичу,общественные науки,2015,http://www.ras.ru/presidium/documents/directions.aspx?ID=72722e43-d556-44e1-a01d-b2bfd8a79a80,m
Рыжовой Наталье Петровне,общественные науки,2015,http://www.ras.ru/presidium/documents/directions.aspx?ID=72722e43-d556-44e1-a01d-b2bfd8a79a80,f
Синеокой Юлии Вадимовне,общественные науки,2015,http://www.ras.ru/presidium/documents/directions.aspx?ID=72722e43-d556-44e1-a01d-b2bfd8a79a80,f
Фишману Леониду Гершевичу,общественные науки,2015,http://www.ras.ru/presidium/documents/directions.aspx?ID=72722e43-d556-44e1-a01d-b2bfd8a79a80,m
Ярашевой Азизе Викторовне,общественные науки,2015,http://www.ras.ru/presidium/documents/directions.aspx?ID=72722e43-d556-44e1-a01d-b2bfd8a79a80,f
Александровой Татьяне Николаевне,науки о Земле,2015,http://www.ras.ru/presidium/documents/directions.aspx?ID=d970afa6-9c0c-4d0c-9c0b-cde1155d0b73,f
Бешенцеву Андрею Николаевичу,науки о Земле,2015,http://www.ras.ru/presidium/documents/directions.aspx?ID=d970afa6-9c0c-4d0c-9c0b-cde1155d0b73,m
Боброву Алексею Владимировичу,науки о Земле,2015,http://www.ras.ru/presidium/documents/directions.aspx?ID=d970afa6-9c0c-4d0c-9c0b-cde1155d0b73,m
Бычкову Андрею Юрьевичу,науки о Земле,2015,http://www.ras.ru/presidium/documents/directions.aspx?ID=d970afa6-9c0c-4d0c-9c0b-cde1155d0b73,m
Володину Евгению Михайловичу,науки о Земле,2015,http://www.ras.ru/presidium/documents/directions.aspx?ID=d970afa6-9c0c-4d0c-9c0b-cde1155d0b73,m
